Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Adjusted Close Price (t = 0),Adjusted Close Price (t = 30),Event Type
580,5/4/2016,Starbucks Corp,SBUX,Goldman Sachs,Karen Holthouse,Buy,Buy,72.0,72.0,,,No Change
657,7/22/2016,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Outperform,Outperform,70.0,70.0,,,No Change
662,9/28/2016,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Outperform,Outperform,65.0,65.0,,,No Change
451,9/28/2016,Starbucks Corp,SBUX,,Jeremy Scott,Buy,Buy,68.0,68.0,,,No Change
533,1/27/2017,Starbucks Corp,SBUX,Buckingham Research,John Zolidis,Neutral,Neutral,59.0,54.0,,,No Change
625,10/3/2017,Starbucks Corp,SBUX,,Mark Astrachan,Hold,Hold,58.0,58.0,,,No Change
280,10/13/2017,Starbucks Corp,SBUX,Rbc,David Palmer,Outperform,Outperform,63.0,63.0,,,No Change
423,11/3/2017,Starbucks Corp,SBUX,,Jason West,Neutral,Neutral,54.0,54.0,,,No Change
353,11/3/2017,Starbucks Corp,SBUX,Ubs,Dennis Geiger,Buy,In Line,67.0,64.0,,,No Change
624,6/20/2018,Starbucks Corp,SBUX,,Mark Astrachan,Hold,Hold,55.0,55.0,,,No Change
520,6/21/2018,Starbucks Corp,SBUX,Jpmorgan,John Ivankoe,Overweight,Overweight,61.0,61.0,,,No Change
658,7/27/2018,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,53.0,53.0,,,No Change
697,8/22/2018,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Overweight,Neutral,60.0,53.0,,,No Change
660,11/2/2018,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,64.0,64.0,,,No Change
286,1/25/2019,Starbucks Corp,SBUX,Rbc,David Palmer,Outperform,Outperform,74.0,75.0,,,No Change
692,6/10/2019,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Neutral,Neutral,82.0,82.0,,,No Change
622,7/26/2019,Starbucks Corp,SBUX,,Mark Astrachan,Hold,Hold,90.0,90.0,,,No Change
519,12/12/2019,Starbucks Corp,SBUX,Jpmorgan,John Ivankoe,Neutral,Overweight,90.0,94.0,,,No Change
694,3/10/2020,Starbucks Corp,SBUX,Piper Sandler,Nicole Miller Regan,Neutral,Neutral,74.0,74.0,,,No Change
371,4/9/2020,Starbucks Corp,SBUX,,Gregory Badishkanian,Buy,Buy,82.0,82.0,,,No Change
369,4/29/2020,Starbucks Corp,SBUX,Keybank,Eric Gonzalez,Overweight,Overweight,92.0,92.0,,,No Change
654,4/29/2020,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,75.0,75.0,,,No Change
623,7/29/2020,Starbucks Corp,SBUX,,Mark Astrachan,Hold,Hold,78.0,78.0,,,No Change
747,7/30/2020,Starbucks Corp,SBUX,Citi,Wendy Nicholson,Buy,Buy,93.0,93.0,,,No Change
621,8/25/2020,Starbucks Corp,SBUX,,Mark Astrachan,Buy,Buy,90.0,90.0,,,No Change
547,10/16/2020,Starbucks Corp,SBUX,Wells Fargo,Jon Tower,Overweight,Overweight,98.0,98.0,,,No Change
661,10/19/2020,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,88.0,88.0,,,No Change
655,12/10/2020,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,105.0,105.0,,,No Change
256,12/10/2020,Starbucks Corp,SBUX,Rbc,Christopher Carril,Outperform,Outperform,109.0,115.0,,,No Change
656,1/27/2021,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,108.0,108.0,,,No Change
546,1/27/2021,Starbucks Corp,SBUX,Wells Fargo,Jon Tower,Overweight,Overweight,120.0,120.0,,,No Change
544,4/28/2021,Starbucks Corp,SBUX,,Jon Tower,Overweight,Overweight,129.0,129.0,,,No Change
393,7/28/2021,Starbucks Corp,SBUX,Guggenheim,Gregory Francfort,Neutral,Neutral,125.0,126.0,,,No Change
691,7/28/2021,Starbucks Corp,SBUX,,Nicole Miller Regan,Neutral,Neutral,125.0,126.0,,,No Change
243,9/21/2021,Starbucks Corp,SBUX,Stifel,Chris O'Cull,Buy,Buy,130.0,130.0,,,No Change
626,9/21/2021,Starbucks Corp,SBUX,,Mark Astrachan,Buy,Buy,130.0,130.0,,,No Change
