,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Score Before,Score After ,Event Type
392,206,9/20/2023,Amazon.com Inc,AMZN,Morgan Stanley,Brian Nowak,Overweight,Overweight,175,175,1,1,No change
393,723,9/22/2023,Amazon.com Inc,AMZN,Telsey Advisory,Joseph Feldman,Outperform,Outperform,160,160,1,1,No change
394,797,9/26/2023,Amazon.com Inc,AMZN,Baml,Justin Post,Buy,Buy,174,174,1,1,No change
395,642,9/27/2023,Amazon.com Inc,AMZN,Argus,Jim Kelleher,Buy,Buy,165,165,1,1,No change
396,724,9/27/2023,Amazon.com Inc,AMZN,Telsey Advisory,Joseph Feldman,Outperform,Outperform,160,160,1,1,No change
397,824,9/28/2023,Amazon.com Inc,AMZN,Needham,Laura Martin,Buy,Buy,160,160,1,1,No change
398,1348,9/28/2023,Amazon.com Inc,AMZN,NaN,Scott Devitt,Outperform,Outperform,180,180,1,1,No change
399,207,10/2/2023,Amazon.com Inc,AMZN,Morgan Stanley,Brian Nowak,Overweight,Overweight,175,175,1,1,No change
400,725,10/11/2023,Amazon.com Inc,AMZN,Telsey Advisory,Joseph Feldman,Outperform,Outperform,160,160,1,1,No change
401,1127,10/16/2023,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outp,175,175,NaN,NaN,None
402,899,10/17/2023,Amazon.com Inc,AMZN,NaN,Mark Kelley,Buy,Buy,173,173,1,1,No change
403,843,10/17/2023,Amazon.com Inc,AMZN,NaN,Lee Horowitz,Buy,Buy,175,175,1,1,No change
404,1349,10/18/2023,Amazon.com Inc,AMZN,NaN,Scott Devitt,Outperform,Outperform,180,180,1,1,No change
405,634,10/19/2023,Amazon.com Inc,AMZN,Oppenheimer,Jason Helfstein,Outperform,Outperform,170,170,1,1,No change
406,25,10/24/2023,Amazon.com Inc,AMZN,NaN,Aaron Kessler,Buy,Buy,145,145,1,1,No change
407,825,10/27/2023,Amazon.com Inc,AMZN,Needham,Laura Martin,Buy,Buy,160,160,1,1,No change
408,1128,11/29/2023,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outp,175,175,NaN,NaN,None
409,1558,11/29/2023,Amazon.com Inc,AMZN,Truist,Youssef Squali,Buy,Buy,176,176,1,1,No change
410,1350,12/1/2023,Amazon.com Inc,AMZN,NaN,Scott Devitt,Outperform,Outperform,180,180,1,1,No change
411,228,1/9/2024,Amazon.com Inc,AMZN,NaN,Brian Pitz,Outperform,Outperform,200,200,1,1,No change
412,900,1/9/2024,Amazon.com Inc,AMZN,NaN,Mark Kelley,Buy,Buy,175,175,1,1,No change
413,492,1/10/2024,Amazon.com Inc,AMZN,Goldman Sachs,Eric Sheridan,Buy,Buy,190,200,1,1,No change
414,1351,1/19/2024,Amazon.com Inc,AMZN,Wedbush,Scott Devitt,Outperform,Outperform,210,210,1,1,No change
415,717,1/24/2024,Amazon.com Inc,AMZN,Telsey Advisory,Joseph Feldman,Outperform,Outperform,165,185,1,1,No change
416,439,2/2/2024,Amazon.com Inc,AMZN,Jpmorgan,Doug Anmuth,Overweight,Overweight,225,225,1,1,No change
417,1287,2/2/2024,Amazon.com Inc,AMZN,Barclays,Ross Sandler,Overweight,Overweight,220,220,1,1,No change
418,1198,2/2/2024,Amazon.com Inc,AMZN,NaN,Rohit Kulkarni,Buy,Buy,205,205,1,1,No change
419,1129,2/2/2024,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outp,225,225,NaN,NaN,None
420,741,2/2/2024,Amazon.com Inc,AMZN,NaN,Josh Beck,Strong Buy,Strong Buy,200,200,1,1,No change
421,77,2/2/2024,Amazon.com Inc,AMZN,Rbc,Brad Erickson,Outperform,Outperform,215,215,1,1,No change
422,884,2/2/2024,Amazon.com Inc,AMZN,Ubs,Lloyd Walmsley,Buy,Buy,198,198,1,1,No change
423,1559,2/2/2024,Amazon.com Inc,AMZN,Truist,Youssef Squali,Buy,Buy,195,195,1,1,No change
424,971,2/2/2024,Amazon.com Inc,AMZN,Evercore,Mark Mahaney,Outperform,Outperform,220,220,1,1,No change
425,726,3/27/2024,Amazon.com Inc,AMZN,Telsey Advisory,Joseph Feldman,Outperform,Outperform,200,200,1,1,No change
426,520,4/18/2024,Amazon.com Inc,AMZN,NaN,Gil Luria,Buy,Buy,235,235,1,1,No change
427,826,4/18/2024,Amazon.com Inc,AMZN,NaN,Laura Martin,Buy,Buy,205,205,1,1,No change
428,229,4/23/2024,Amazon.com Inc,AMZN,NaN,Brian Pitz,Outperform,Outperform,215,215,1,1,No change
429,349,4/24/2024,Amazon.com Inc,AMZN,Benchmark,Daniel Kurnos,Buy,Buy,200,200,1,1,No change
430,249,5/1/2024,Amazon.com Inc,AMZN,Hsbc,Christopher Johnen,Buy,Buy,200,220,1,1,No change
431,1130,5/1/2024,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outp,225,225,NaN,NaN,None
432,350,5/1/2024,Amazon.com Inc,AMZN,Benchmark,Daniel Kurnos,Buy,Buy,200,200,1,1,No change
433,68,5/1/2024,Amazon.com Inc,AMZN,Rosenblatt,Barton Crockett,Buy,Buy,220,220,1,1,No change
434,740,5/1/2024,Amazon.com Inc,AMZN,Raymond James,Josh Beck,Strong Buy,Strong Buy,200,205,1,1,No change
435,1236,5/1/2024,Amazon.com Inc,AMZN,Citi,Ronald Josey,Buy,Buy,235,245,1,1,No change
436,901,5/1/2024,Amazon.com Inc,AMZN,NaN,Mark Kelley,Buy,Buy,228,228,1,1,No change
437,1477,5/1/2024,Amazon.com Inc,AMZN,Piper Sandler,Thomas Champion,Overweight,Overweight,205,220,1,1,No change
438,727,5/1/2024,Amazon.com Inc,AMZN,Telsey Advisory,Joseph Feldman,Outperform,Outperform,215,215,1,1,No change
439,433,5/1/2024,Amazon.com Inc,AMZN,Jpmorgan,Doug Anmuth,Overweight,Overweight,225,240,1,1,No change
440,827,5/1/2024,Amazon.com Inc,AMZN,NaN,Laura Martin,Buy,Buy,205,205,1,1,No change
441,230,5/1/2024,Amazon.com Inc,AMZN,NaN,Brian Pitz,Outperform,Outperform,220,220,1,1,No change
442,1199,5/1/2024,Amazon.com Inc,AMZN,NaN,Rohit Kulkarni,Buy,Buy,210,210,1,1,No change
443,969,5/1/2024,Amazon.com Inc,AMZN,Evercore,Mark Mahaney,Outperform,Outperform,220,225,1,1,No change
444,204,5/1/2024,Amazon.com Inc,AMZN,Morgan Stanley,Brian Nowak,Overweight,Overweight,215,220,1,1,No change
445,1352,5/1/2024,Amazon.com Inc,AMZN,Wedbush,Scott Devitt,Outperform,Outperform,225,225,1,1,No change
446,1288,5/1/2024,Amazon.com Inc,AMZN,Barclays,Ross Sandler,Overweight,Overweight,230,230,1,1,No change
447,828,5/15/2024,Amazon.com Inc,AMZN,NaN,Laura Martin,Buy,Buy,205,205,1,1,No change
448,575,5/30/2024,Amazon.com Inc,AMZN,NaN,Ivan Feinseth,Buy,Buy,245,245,1,1,No change
449,829,7/1/2024,Amazon.com Inc,AMZN,NaN,Laura Martin,Buy,Buy,205,205,1,1,No change
450,830,7/9/2024,Amazon.com Inc,AMZN,NaN,Laura Martin,Buy,Buy,205,205,1,1,No change
451,1200,7/9/2024,Amazon.com Inc,AMZN,NaN,Rohit Kulkarni,Buy,Buy,210,210,1,1,No change
452,703,7/10/2024,Amazon.com Inc,AMZN,Td Cowen,John Blackledge,Buy,Buy,245,245,1,1,No change
453,351,7/16/2024,Amazon.com Inc,AMZN,Benchmark,Daniel Kurnos,Buy,Buy,200,200,1,1,No change
454,1368,7/16/2024,Amazon.com Inc,AMZN,NaN,Shweta Khajuria,Outperform,Outperform,250,250,1,1,No change
455,831,7/17/2024,Amazon.com Inc,AMZN,NaN,Laura Martin,Buy,Buy,210,210,1,1,No change
