Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Event Type
36,2021-12-10,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,565,565,No Change
86,2021-12-14,Costco Wholesale,COST,Argus,Christopher Graja,Buy,Buy,515,610,No Change
358,2022-03-04,Costco Wholesale,COST,Bmo,Kelly Bania,Outperform,Outperform,560,580,No Change
292,2022-03-04,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,615,615,No Change
42,2022-03-30,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,620,620,No Change
904,2022-04-07,Costco Wholesale,COST,Jefferies,Stephanie Wissink,Buy,Buy,650,670,No Change
324,2022-04-07,Costco Wholesale,COST,Goldman Sachs,Kate Mcshane,Buy,Buy,627,627,No Change
33,2022-04-07,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,645,645,No Change
21,2022-04-19,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,645,645,No Change
293,2022-05-27,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,590,590,No Change
22,2022-05-31,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,560,560,No Change
135,2022-06-02,Costco Wholesale,COST,,Corey Tarlowe,Buy,Buy,580,580,No Change
344,2022-08-04,Costco Wholesale,COST,Goldman Sachs,Kate Mcshane,Buy,Buy,573,573,No Change
23,2022-08-05,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,600,600,No Change
127,2022-09-01,Costco Wholesale,COST,Jefferies,Corey Tarlowe,Buy,Buy,580,610,No Change
897,2022-09-23,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,525,525,No Change
24,2022-09-26,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,560,560,No Change
25,2022-12-01,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,570,570,No Change
294,2022-12-09,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,580,580,No Change
460,2022-12-09,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,In Line,565,545,No Change
554,2023-01-06,Costco Wholesale,COST,Ubs,Michael Lasser,Buy,Buy,600,600,No Change
175,2023-02-06,Costco Wholesale,COST,,George Kelly,Equal Weight,Equal Weight,475,475,No Change
855,2023-02-08,Costco Wholesale,COST,,Seth Sigman,Equal Weight,Equal Weight,510,510,No Change
306,2023-03-03,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540,No Change
261,2023-03-28,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540,No Change
262,2023-04-06,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540,No Change
779,2023-04-06,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,550,550,No Change
13,2023-05-26,Costco Wholesale,COST,Roth Mkm,Bill Kirk,Neutral,Neutral,482,482,No Change
263,2023-05-26,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540,No Change
780,2023-05-26,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,550,550,No Change
443,2023-06-02,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,570,570,No Change
